klucz,short_name,nationality,club_name,league_name,position
00003468,Bueno,Spain,Boavista FC,Portuguese Liga ZON SAGRES,CAM
00001720,Bustinza,Spain,CD Leganés,Spanish Segunda División,RCB
00009038,C. Aasbak,Norway,Kristiansund BK,Norwegian Eliteserien,LB
00008461,C. Abi,France,AS Saint-Étienne,French Ligue 1,ST
00002535,C. Acevedo,Mexico,Santos Laguna,Mexican Liga MX,GK
00009444,C. Alkilic,Turkey,BB Erzurumspor,Turkish Süper Lig,RB
00001865,C. Alvarez,Argentina,Real Zaragoza,Spanish Segunda División,GK
00011477,C. Alvarez,Argentina,Deportivo Pasto,Colombian Liga Postobón,LCM
00007200,C. Amissi,Burundi,Al Taawoun,Saudi Abdul L. Jameel League,CAM
00010685,C. Andriamahitsinoro,Madagascar,Al Adalah,Saudi Abdul L. Jameel League,LM
00007902,C. Aneke,England,Charlton Athletic,English League One,LS
00000803,C. Ansaldi,Argentina,Torino,Italian Serie A,LB
00013063,C. Antwi,Ghana,FC Nordsjalland,Danish Superliga,LB
00003410,C. AntwiAdjej,Ghana,SC Paderborn 07,German 2. Bundesliga,LM
00012926,C. Arabe,Bolivia,Always Ready,Liga de Fútbol Profesional Boliviano,RM
00007654,C. Arango,Colombia,Millonarios FC,Colombian Liga Postobón,ST
00000196,C. Aranguiz,Chile,Bayer 04 Leverkusen,German 1. Bundesliga,RDM
00006535,C. Arcus,Haiti,AJ Auxerre,French Ligue 2,RB
00005848,C. Avevor,Germany,FC St. Pauli,German 2. Bundesliga,RCB
00006971,C. Avinel,France,AC Ajaccio,French Ligue 2,RCB
00009403,C. Ayala,Colombia,Deportivo Pasto,Colombian Liga Postobón,RCM
00003279,C. Baeza,Chile,Club Necaxa,Mexican Liga MX,RDM
00007689,C. Baird,United States,Real Salt Lake,USA Major League Soccer,ST
00000479,C. Bakambu,DR Congo,Beijing Sinobo Guoan FC,Chinese Super League,LS
00003645,C. Balgradean,Romania,CFR Cluj,Romanian Liga I,GK
00017156,C. Barker,England,Charlton Athletic,English League One,RB
00001055,C. Basham,England,Sheffield United,English Premier League,RCB
00012979,C. Bassett,United States,Colorado Rapids,USA Major League Soccer,CAM
00005181,C. Battocchio,Italy,Stade Brestois 29,French Ligue 1,RCM
00001541,C. Baumgartner,Austria,TSG 1899 Hoffenheim,German 1. Bundesliga,RW
00010684,C. Beck,Germany,1. FC Magdeburg,German 3. Bundesliga,LS
00008817,C. Bedia,Ivory Coast,FC Sochaux-Montbéliard,French Ligue 2,ST
00008410,C. BeluIordache,Romania,FC Hermannstadt,Romanian Liga I,RB
00005366,C. Bernardi,Argentina,Club Atlético Colón,Argentina Primera División,LM
00001934,C. Biraghi,Italy,Fiorentina,Italian Serie A,LM
00010972,C. BlackettTaylor,England,Tranmere Rovers,English League Two,LM
00006954,C. Bolanos,Costa Rica,IK Start,Norwegian Eliteserien,RM
00013623,C. Bolger,Republic of Ireland,Northampton Town,English League One,CB
