klucz,short_name,nationality,club_name,league_name,position
00000794,. Radu,Romania,Lazio,Italian Serie A,LCB
00008660,. Vladoiu,Romania,Universitatea Craiova,Romanian Liga I,RB
00017682,A. Abdugheni,China PR,Jiangsu Suning FC,Chinese Super League,RWB
00002703,A. Abedzadeh,Iran,Clube Sport Marítimo,Portuguese Liga ZON SAGRES,GK
00008651,A. Abeid,Mauritania,Valenciennes FC,French Ligue 2,LWB
00014621,A. Ablet,China PR,Henan Jianye FC,Chinese Super League,LWB
00009298,A. Acosta,Mexico,FC Juárez,Mexican Liga MX,RB
00003611,A. Acquah,Ghana,Yeni Malatyaspor,Turkish Süper Lig,LDM
00001475,A. Ademi,North Macedonia,Dinamo Zagreb,Croatian Prva HNL,RCM
00001756,A. Adnan,Iraq,Vancouver Whitecaps FC,USA Major League Soccer,LWB
00012945,A. Aganovic,Croatia,Sepsi OSK,Romanian Liga I,RCM
00002237,A. Aguerre,Argentina,Newell's Old Boys,Argentina Primera División,GK
00004845,A. Ahamada,Comoros,SK Brann,Norwegian Eliteserien,GK
00005442,A. Ahmedhodzic,Bosnia Herzegovina,Malmö FF,Swedish Allsvenskan,RCB
00013520,A. Ajeti,Albania,Vejle Boldklub,Danish Superliga,LCB
00015066,A. Al Asmari,Saudi Arabia,Al Ahli,Saudi Abdul L. Jameel League,RDM
00011714,A. Al Barakah,Saudi Arabia,Al Fayha,Saudi Abdul L. Jameel League,CAM
00007244,A. Al Bulayhi,Saudi Arabia,Al Hilal,Saudi Abdul L. Jameel League,LCB
00012512,A. Al Fahad,Saudi Arabia,Al Raed,Saudi Abdul L. Jameel League,RCB
00016457,A. Al Hassan,Saudi Arabia,Al Fateh,Saudi Abdul L. Jameel League,LCM
00017967,A. Al Hassan,Saudi Arabia,Al Faisaly,Saudi Abdul L. Jameel League,RB
00017368,A. Al Jamaan,Saudi Arabia,Abha Club,Saudi Abdul L. Jameel League,LM
00008639,A. Al Khaibari,Saudi Arabia,Al Nassr,Saudi Abdul L. Jameel League,LDM
00010061,A. Al Malki,Saudi Arabia,Al Ittihad,Saudi Abdul L. Jameel League,RCM
00005226,A. Al Mayoof,Saudi Arabia,Al Hilal,Saudi Abdul L. Jameel League,GK
00012173,A. Al Najjar,Saudi Arabia,Abha Club,Saudi Abdul L. Jameel League,RM
00014640,A. Al Nashi,Saudi Arabia,Al Hazem,Saudi Abdul L. Jameel League,LCM
00013582,A. Al Obud,Saudi Arabia,Al Ittihad,Saudi Abdul L. Jameel League,RW
00011478,A. Al Salem,Saudi Arabia,Ettifaq FC,Saudi Abdul L. Jameel League,ST
00010274,A. Al Shamekh,Saudi Arabia,Al Shabab,Saudi Abdul L. Jameel League,LB
00013560,A. Al Shammari,Saudi Arabia,Al Hazem,Saudi Abdul L. Jameel League,CB
00014600,A. Al Yousef,Saudi Arabia,Al Adalah,Saudi Abdul L. Jameel League,LB
00012847,A. Al Zain,Saudi Arabia,Al Raed,Saudi Abdul L. Jameel League,LM
00010927,A. Albanese,Belgium,Waasland-Beveren,Belgian Jupiler Pro League,RM
00008370,A. Albers,Denmark,SSV Jahn Regensburg,German 2. Bundesliga,RS
00008988,A. Albu,Romania,UTA Arad,Romanian Liga I,LCM
00003424,A. Alcaraz,Paraguay,Olimpia Asunción,Paraguayan Primera División,LCB
00002781,A. Aldrete,Mexico,Cruz Azul,Mexican Liga MX,LB
00010164,A. Ale,Uruguay,Delfín SC,Ecuadorian Serie A,LCB
00007531,A. Alvarado,Ecuador,SD Aucas,Ecuadorian Serie A,LM
00015696,A. Alvarez Martinez,Uruguay,Penarol,Uruguayan Primera División,RS
00010075,A. Anastasio,Italy,AC Monza,Italian Serie B,LB
00018218,A. Anderson,Australia,Melbourne Victory,Australian Hyundai A-League,LCB
00008687,A. Andersson,Sweden,BK Häcken,Swedish Allsvenskan,LB
00005251,A. Andrade,Colombia,Atlético Nacional,Colombian Liga Postobón,LM
00009697,A. Antilef,Argentina,Arsenal de Sarandí,Argentina Primera División,CAM
00007642,A. Araque,Venezuela,Estudiantes de Mérida,Venezuelan Primera División,GK
00010808,A. Aremu,Nigeria,FC St. Pauli,German 2. Bundesliga,RCM
00007256,A. Argacha,Uruguay,Centro Atlético Fénix,Uruguayan Primera División,LM
00012280,A. Arias,Peru,Melgar FBC,Peruvian Primera División,RCM
00002522,A. Armstrong,England,Blackburn Rovers,English League Championship,ST
00009455,A. Arregui,Argentina,Club Atlético Huracán,Argentina Primera División,RCM
00007960,A. Artean,Romania,FC Viitorul,Romanian Liga I,CM
00010541,A. Asiri,Saudi Arabia,Al Taawoun,Saudi Abdul L. Jameel League,RCB
00009032,A. Atouchi,Morocco,Abha Club,Saudi Abdul L. Jameel League,LCB
00016885,A. Attiah,Saudi Arabia,Al Wehda,Saudi Abdul L. Jameel League,GK
00009222,A. Auassar,Netherlands,Sparta Rotterdam,Holland Eredivisie,CDM
00001367,A. Ayew,Ghana,Swansea City,English League Championship,RS
00007426,A. Bah,Denmark,SonderjyskE,Danish Superliga,RM
00003367,A. Bakasetas,Greece,Alanyaspor,Turkish Süper Lig,CAM
00013949,A. Balanta,Colombia,Deportivo Cali,Colombian Liga Postobón,RDM
00002902,A. Bamba,Ivory Coast,Angers SCO,French Ligue 1,RB
00009746,A. Bamba,Ivory Coast,Paris FC,French Ligue 2,RCB
00012669,A. Baptiste,England,Bolton Wanderers,English League Two,CB
00002607,A. Barboza,Argentina,Independiente,Argentina Primera División,LCB
00004503,A. Bareiro,Paraguay,Club Libertad,Paraguayan Primera División,LM
00006565,A. Bareiro,Paraguay,Alanyaspor,Turkish Süper Lig,ST
00004197,A. Barilla,Italy,AC Monza,Italian Serie B,CM
00006717,A. Barman,United Arab Emirates,Al Ain FC,UAE Arabian Gulf League,LDM
00001068,A. Barnes,England,Burnley,English Premier League,LS
00010071,A. Barylla,Germany,1. FC Saarbrücken,German 3. Bundesliga,RB
00006461,A. Bassi,Morocco,AS Nancy Lorraine,French Ligue 2,CAM
00015524,A. Bates,England,Walsall,English League Two,LDM
00009847,A. Batisse,France,Pau FC,French Ligue 2,RCB
00005949,A. Baumjohann,Germany,Sydney FC,Australian Hyundai A-League,RAM
00002863,A. Bedoya,United States,Philadelphia Union,USA Major League Soccer,RCM
00005736,A. Bell,England,Blackburn Rovers,English League Championship,LB
00009839,A. Belmonte,France,Grenoble Foot 38,French Ligue 2,LDM
00000402,A. Belotti,Italy,Torino,Italian Serie A,LS
00013845,A. Benga,Romania,UTA Arad,Romanian Liga I,RCB
00004533,A. Bernabei,Argentina,Club Atlético Lanús,Argentina Primera División,LB
00003855,A. Bernede,France,FC Red Bull Salzburg,Austrian Football Bundesliga,RDM
00010260,A. Berzel,Germany,Türkgücü München,German 3. Bundesliga,LCB
00004232,A. Bjelland,Denmark,FC Kobenhavn,Danish Superliga,LCB
00008842,A. Bjornstrom,Sweden,IK Sirius,Swedish Allsvenskan,LB
00001716,A. Blake,Jamaica,Philadelphia Union,USA Major League Soccer,GK
00008422,A. Blanco,Argentina,Caracas FC,Venezuelan Primera División,ST
00002633,A. Blin,France,Amiens SC,French Ligue 2,LDM
00003964,A. Bobichon,France,Angers SCO,French Ligue 1,RCM
00003905,A. Bodart,Belgium,Standard de Liege,Belgian Jupiler Pro League,GK
00015070,A. Boiciuc,Moldova,Academica Clinceni,Romanian Liga I,RS
00005001,A. Bonnet,France,Le Havre AC,French Ligue 2,LM
00016054,A. Boroughbridge,Australia,Macarthur FC,Australian Hyundai A-League,RCB
00002748,A. Boruc,Poland,Legia Warszawa,Polish T-Mobile Ekstraklasa,GK
00003394,A. Bouchalakis,Greece,Olympiacos CFP,Greek Super League,RCM
00007012,A. Bouhaddouz,Morocco,SV Sandhausen,German 2. Bundesliga,LS
00010230,A. Boyle,Republic of Ireland,Dundalk,Rep. Ireland Airtricity League,RCB
00017394,A. Breslin,Republic of Ireland,Bohemian FC,Rep. Ireland Airtricity League,LB
00002186,A. Briancon,France,Nîmes Olympique,French Ligue 1,RCB
00002656,A. Brignoli,Italy,Empoli,Italian Serie B,GK
00002599,A. Browne,Republic of Ireland,Preston North End,English League Championship,LDM
00006582,A. Buksa,Poland,New England Revolution,USA Major League Soccer,ST
00014738,A. Buksa,Poland,Wis³a Kraków,Polish T-Mobile Ekstraklasa,ST
00007971,A. Bunjaku,Kosovo,Viktoria Köln,German 3. Bundesliga,ST
00004840,A. Burca,Romania,CFR Cluj,Romanian Liga I,LCB
00004251,A. Buttner,Netherlands,New England Revolution,USA Major League Soccer,LB
00002784,A. Buyuk,Turkey,Yeni Malatyaspor,Turkish Süper Lig,RM
00011360,A. Buzbuchi,Romania,Gaz Metan Mediaº,Romanian Liga I,GK
00015988,A. Cabrera,Bolivia,Nacional Potosí,Liga de Fútbol Profesional Boliviano,LCB
00006160,A. Cadavid,Colombia,Independiente Medellín,Colombian Liga Postobón,LCB
00008910,A. Cairns,England,Fleetwood Town,English League One,GK
00010296,A. Calcan,Romania,Politehnica Iaºi,Romanian Liga I,LW
00009296,A. Calisir,Armenia,IFK Göteborg,Swedish Allsvenskan,LCB
00004857,A. Callens,Peru,New York City FC,USA Major League Soccer,LCB
00005485,A. Campbell,Scotland,Motherwell,Scottish Premiership,RCM
00012354,A. Canli,Turkey,Hatayspor,Turkish Süper Lig,LDM
00009851,A. Cannon,England,Portsmouth,English League One,CAM
00009673,A. Canobbio,Uruguay,Centro Atlético Fénix,Uruguayan Primera División,RM
00012183,A. Carrasquilla,Panama,FC Cartagena,Spanish Segunda División,RCM
00000651,A. Carrillo,Peru,Al Hilal,Saudi Abdul L. Jameel League,RM
00003200,A. CastroMontes,Belgium,KAA Gent,Belgian Jupiler Pro League,RB
00002678,A. Cermak,Czech Republic,Viktoria Plzeò,Czech Republic Gambrinus Liga,LCM
00004254,A. Chahechouhe,Morocco,Fatih Karagümrük S.K.,Turkish Süper Lig,LCM
00003719,A. Chavez,Argentina,Club Atlético Huracán,Argentina Primera División,CF
00005029,A. Chedjou,Cameroon,Amiens SC,French Ligue 2,LCB
00007396,A. Chindris,Romania,FC Botoºani,Romanian Liga I,RCB
00000527,A. Christensen,Denmark,Chelsea,English Premier League,RCB
00001926,A. Christiansen,Denmark,Malmö FF,Swedish Allsvenskan,RCM
00003126,A. Cicaldau,Romania,Universitatea Craiova,Romanian Liga I,LCM
00006477,A. Ciobanu,Romania,FC Viitorul,Romanian Liga I,LCM
00006692,A. Ciranni,Belgium,Royal Excel Mouscron,Belgian Jupiler Pro League,RB
00016105,A. Cirkovic,Serbia,FC Admira Wacker Mödling,Austrian Football Bundesliga,LM
00008414,A. Cisse,Senegal,Al Adalah,Saudi Abdul L. Jameel League,RCM
00003111,A. Cistana,Italy,Brescia,Italian Serie B,LCB
00005048,A. Clayton,England,Birmingham City,English League Championship,LDM
00006796,A. Coeff,France,AJ Auxerre,French Ligue 2,RCB
00013133,A. Collins,England,Exeter City,English League Two,LCM
00015822,A. Collins,Wales,Forest Green Rovers,English League Two,LS
00009669,A. Colorado,Colombia,Deportivo Cali,Colombian Liga Postobón,LDM
00010264,A. Coly,Senegal,Kristiansund BK,Norwegian Eliteserien,RCB
00006928,A. Considine,Scotland,Aberdeen,Scottish Premiership,LCB
00000322,A. Consigli,Italy,Sassuolo,Italian Serie A,GK
00008392,A. Contrera,Paraguay,River Plate Asunción,Paraguayan Primera División,LS
00011029,A. Contreras,Venezuela,Caracas FC,Venezuelan Primera División,CAM
00010435,A. Cook,England,Mansfield Town,English League Two,RS
00016299,A. Coote,Scotland,Waterford FC,Rep. Ireland Airtricity League,RM
00003429,A. Cordaz,Italy,Crotone,Italian Serie A,GK
00001739,A. Cornelius,Denmark,Parma,Italian Serie A,ST
00000225,A. Correa,Argentina,Atlético Madrid,Spain Primera Division,RM
00000287,A. Cragno,Italy,Cagliari,Italian Serie A,GK
00001080,A. Cresswell,England,West Ham United,English Premier League,LB
00010339,A. Cristea,Romania,Politehnica Iaºi,Romanian Liga I,ST
00001565,A. Cubas,Paraguay,Nîmes Olympique,French Ligue 1,RDM
00005915,A. Czerwinski,Poland,Lech Poznañ,Polish T-Mobile Ekstraklasa,RB
00004057,A. DAlberto,Belgium,Moreirense FC,Portuguese Liga ZON SAGRES,RB
00011789,A. Dandea,Romania,Astra Giurgiu,Romanian Liga I,LCB
00001620,A. Danjuma Groeneveld,Netherlands,Bournemouth,English League Championship,LM
00010859,A. Dante,Mali,SK Sturm Graz,Austrian Football Bundesliga,LB
00000274,A. Davies,Canada,FC Bayern München,German 1. Bundesliga,LB
00004785,A. Davies,Wales,Stoke City,English League Championship,GK
00003677,A. del Valle,Colombia,Millonarios FC,Colombian Liga Postobón,RM
00009103,A. Delamea,Slovenia,New England Revolution,USA Major League Soccer,LCB
00000641,A. Delort,Algeria,Montpellier HSC,French Ligue 1,LS
00006966,A. Demir,Turkey,BB Erzurumspor,Turkish Süper Lig,RCB
00011866,A. DErrico,Italy,AC Monza,Italian Serie B,RCM
00006823,A. Desmas,France,Clermont Foot 63,French Ligue 2,GK
00000040,A. Di Maria,Argentina,Paris Saint-Germain,French Ligue 1,RW
00001796,A. Diamanti,Italy,Western United FC,Australian Hyundai A-League,CAM
00001593,A. Diawara,Guinea,Roma,Italian Serie A,LCM
00009728,A. Diawusie,Germany,SG Dynamo Dresden,German 3. Bundesliga,RW
00007502,A. Dijksteel,Netherlands,Middlesbrough,English League Championship,RB
00010618,A. Diop,Senegal,Kristiansund BK,Norwegian Eliteserien,LDM
00001592,A. Disasi,France,AS Monaco,French Ligue 1,RCB
00000969,A. Djiku,France,RC Strasbourg Alsace,French Ligue 1,RDM
00005988,A. Djoum,Cameroon,Al Raed,Saudi Abdul L. Jameel League,LDM
00001981,A. Donatti,Argentina,San Lorenzo de Almagro,Argentina Primera División,LCB
00013176,A. Donkor,Germany,SV Waldhof Mannheim,German 3. Bundesliga,ST
00002925,A. Donnarumma,Italy,Brescia,Italian Serie B,RS
00006432,A. Donnum,Norway,Valerenga Fotball,Norwegian Eliteserien,RW
00000756,A. Doucoure,France,Everton,English Premier League,RCM
00008271,A. Doukha,Algeria,Al Raed,Saudi Abdul L. Jameel League,GK
00012047,A. Dozzell,England,Ipswich Town,English League One,CDM
00005492,A. Dreyer,Denmark,FC Midtjylland,Danish Superliga,CAM
00010382,A. Durante,New Zealand,Western United FC,Australian Hyundai A-League,CB
00013739,A. Eastham,England,Salford City,English League Two,RCB
00012657,A. Ejupi,Sweden,Varbergs BoIS,Swedish Allsvenskan,LCM
00001835,A. Ekdal,Sweden,Sampdoria,Italian Serie A,LCM
00013841,A. El Hriti,France,FC Chambly Oise,French Ligue 2,LWB
00010411,A. El Kaoutari,Morocco,AS Nancy Lorraine,French Ligue 2,LCB
00011184,A. Engin,Germany,MSV Duisburg,German 3. Bundesliga,LM
00001836,A. Epureanu,Moldova,Medipol Baºakºehir FK,Turkish Süper Lig,LCB
00008713,A. Erlingmark,Sweden,IFK Göteborg,Swedish Allsvenskan,LDM
00004483,A. Esaka,Japan,Kashiwa Reysol,Japanese J. League Division 1,CAM
00002487,A. Espino,Uruguay,Cádiz CF,Spain Primera Division,LB
00007175,A. Farrell,United States,New England Revolution,USA Major League Soccer,RCB
00004988,A. Federici,Australia,Macarthur FC,Australian Hyundai A-League,GK
00006983,A. Feick,Germany,FC Würzburger Kickers,German 2. Bundesliga,LB
00012157,A. Ferati,Germany,SV Waldhof Mannheim,German 3. Bundesliga,CAM
00001823,A. Fernandez,Argentina,Cádiz CF,Spain Primera Division,RDM
00012717,A. Fernandez,Uruguay,Club Plaza Colonia,Uruguayan Primera División,RM
00004705,A. Fletcher,England,Middlesbrough,English League Championship,ST
00000352,A. Florenzi,Italy,Paris Saint-Germain,French Ligue 1,RB
00015033,A. Fofana,Ivory Coast,Varbergs BoIS,Swedish Allsvenskan,LWB
00011694,A. Forde,Republic of Ireland,Oxford United,English League One,LW
00012448,A. Forrest,Scotland,Livingston FC,Scottish Premiership,LM
00009380,A. Fraczczak,Poland,Pogoñ Szczecin,Polish T-Mobile Ekstraklasa,ST
00002101,A. Franco,Argentina,Independiente,Argentina Primera División,RCB
00010630,A. Frezzotti,Argentina,SD Aucas,Ecuadorian Serie A,RCM
00008662,A. Frias,Argentina,Defensa y Justicia,Argentina Primera División,CB
00004876,A. Fukumori,Japan,Hokkaido Consadole Sapporo,Japanese J. League Division 1,LCB
00002090,A. Fulgini,France,Angers SCO,French Ligue 1,RM
00002805,A. Gabbarini,Argentina,LDU Quito,Ecuadorian Serie A,GK
00009340,A. Galabinov,Bulgaria,Spezia,Italian Serie A,ST
00007179,A. Geipl,Germany,1. FC Heidenheim 1846,German 2. Bundesliga,RDM
00006975,A. Gerndt,Sweden,FC Lugano,Swiss Super League,RS
00012180,A. Ghareeb,Saudi Arabia,Al Ahli,Saudi Abdul L. Jameel League,LM
00004012,A. Gholizadeh,Iran,Sporting de Charleroi,Belgian Jupiler Pro League,LM
00000319,A. Gignac,France,Tigres U.A.N.L.,Mexican Liga MX,ST
00013902,A. Gigovic,Sweden,Helsingborgs IF,Swedish Allsvenskan,RM
00009964,A. Gilbey,England,Charlton Athletic,English League One,LCM
00011306,A. Gilliead,England,Scunthorpe United,English League Two,RM
00009405,A. Gimenez,Paraguay,Jorge Wilstermann,Liga de Fútbol Profesional Boliviano,GK
00004422,A. Godoy,Panama,Nashville SC,USA Major League Soccer,LDM
00010111,A. Gogic,Cyprus,Hibernian,Scottish Premiership,RCM
00000548,A. Golovin,Russia,AS Monaco,French Ligue 1,LCM
00007321,A. Gomes,England,Boavista FC,Portuguese Liga ZON SAGRES,LM
00000052,A. Gomez,Argentina,Atalanta,Italian Serie A,LF
00010712,A. Gomez,Venezuela,AC Mineros de Guayana,Venezuelan Primera División,RM
00011747,A. Gomez,Peru,Alianza Lima,Peruvian Primera División,LM
00001298,A. Gomis,Senegal,Dijon FCO,French Ligue 1,GK
00012596,A. Gomis,France,USL Dunkerque,French Ligue 2,LCB
00006056,A. Goncalves,France,Stade Malherbe Caen,French Ligue 2,LCM
00009832,A. Goncalves Pereira,France,La Berrichonne de Châteauroux,French Ligue 2,ST
00003399,A. Gonzalez,Argentina,Estudiantes de La Plata,Argentina Primera División,RW
00004380,A. Gonzalez,Venezuela,Dinamo Bucureºti,Romanian Liga I,RB
00015361,A. Gonzalez,Venezuela,Llaneros de Guanare,Venezuelan Primera División,RDM
00004527,A. Gouiri,France,OGC Nice,French Ligue 1,LW
00010668,A. Granlund,Finland,Örebro SK,Swedish Allsvenskan,RB
00003435,A. Granqvist,Sweden,Helsingborgs IF,Swedish Allsvenskan,RCB
00008220,A. Grant,Australia,Perth Glory,Australian Hyundai A-League,LCB
00009158,A. Grant,England,Swindon Town,English League One,LCM
00003933,A. Grbic,Austria,FC Lorient,French Ligue 1,ST
00013746,A. Greene,Republic of Ireland,Shamrock Rovers,Rep. Ireland Airtricity League,ST
00006448,A. Grgic,Switzerland,FC Sion,Swiss Super League,LCM
00000046,A. Griezmann,France,FC Barcelona,Spain Primera Division,ST
00004871,A. Gruber,Austria,LASK Linz,Austrian Football Bundesliga,RW
00005034,A. Grunwald,Austria,FK Austria Wien,Austrian Football Bundesliga,LCM
00013259,A. Gryszkiewicz,Poland,Górnik Zabrze,Polish T-Mobile Ekstraklasa,LCB
00000799,A. Guardado,Mexico,Real Betis,Spain Primera Division,LCM
00015559,A. Gutierrez,Mexico,Cruz Azul,Mexican Liga MX,LM
00014295,A. Gutman,United States,FC Cincinnati,USA Major League Soccer,LWB
00000151,A. Hakimi,Morocco,Inter,Italian Serie A,RM
00000661,A. Hamdallah,Morocco,Al Nassr,Saudi Abdul L. Jameel League,ST
00005518,A. HancheOlsen,Norway,Stabak Fotball,Norwegian Eliteserien,LCB
00002216,A. Hansen,Norway,Rosenborg BK,Norwegian Eliteserien,GK
00000933,A. Harit,Morocco,FC Schalke 04,German 1. Bundesliga,CAM
00005624,A. Harroui,Netherlands,Sparta Rotterdam,Holland Eredivisie,RCM
00009587,A. Hasic,Bosnia Herzegovina,Beºiktaº JK,Turkish Süper Lig,RM
00003566,A. Hayashi,Japan,FC Tokyo,Japanese J. League Division 1,GK
00012267,A. Hayden,England,Carlisle United,English League Two,RCB
00013142,A. Hellborg,Sweden,IK Sirius,Swedish Allsvenskan,CDM
00016065,A. Hernandez,Venezuela,Aragua FC,Venezuelan Primera División,RCB
00008650,A. Herrera,United States,Real Salt Lake,USA Major League Soccer,RB
00010654,A. Hinestroza,Colombia,Nacional Potosí,Liga de Fútbol Profesional Boliviano,RCM
00005823,A. Hjulsager,Denmark,KV Oostende,Belgian Jupiler Pro League,LCM
00003475,A. Hlousek,Czech Republic,1. FC Kaiserslautern,German 3. Bundesliga,LB
00002043,A. Hlozek,Czech Republic,Sparta Praha,Czech Republic Gambrinus Liga,RS
00003354,A. Hoffmann,Germany,Fortuna Düsseldorf,German 2. Bundesliga,LCB
00009505,A. Hopmark,Norway,Kristiansund BK,Norwegian Eliteserien,RDM
00002307,A. Hruska,Czech Republic,Viktoria Plzeò,Czech Republic Gambrinus Liga,GK
00005613,A. Hrustic,Australia,FC Groningen,Holland Eredivisie,LM
00003687,A. Hughes,Wales,Preston North End,English League Championship,LB
00002764,A. Hunt,Germany,Hamburger SV,German 2. Bundesliga,CAM
00009920,A. Hunter,England,Salford City,English League Two,LM
00001344,A. Hutchinson,Canada,Beºiktaº JK,Turkish Süper Lig,CDM
00013425,A. Iacovitti,Scotland,Ross County FC,Scottish Premiership,LCB
00002919,A. Ienaga,Japan,Kawasaki Frontale,Japanese J. League Division 1,RM
00009278,A. Ignjovski,Serbia,Holstein Kiel,German 2. Bundesliga,RB
00013313,A. Ildiz,Turkey,Yeni Malatyaspor,Turkish Süper Lig,RDM
00006662,A. Iniestra,Mexico,U.N.A.M.,Mexican Liga MX,LCM
00002873,A. Ionita,Moldova,Benevento,Italian Serie A,RCM
00012758,A. Ionita,Romania,UTA Arad,Romanian Liga I,RS
00000512,A. Isak,Sweden,Real Sociedad,Spain Primera Division,ST
00005636,A. Ismajli,Albania,Spezia,Italian Serie A,LCB
00007611,A. Ivan,Romania,Universitatea Craiova,Romanian Liga I,RW
00000569,A. Izzo,Italy,Torino,Italian Serie A,RB
00007976,A. Jaakkola,Finland,Bristol Rovers,English League One,GK
00010036,A. Jackson,England,Lincoln City,English League One,LCB
00010398,A. Jacobsen,Denmark,SonderjyskE,Danish Superliga,LS
00002962,A. Jahovic,North Macedonia,Antalyaspor,Turkish Süper Lig,ST
00005620,A. Jakubech,Slovakia,KV Kortrijk,Belgian Jupiler Pro League,GK
00013187,A. Jallow,Sweden,IFK Göteborg,Swedish Allsvenskan,RB
00006030,A. Jansen,Netherlands,FC Emmen,Holland Eredivisie,LAM
00003466,A. Jedrzejczyk,Poland,Legia Warszawa,Polish T-Mobile Ekstraklasa,LCB
00017274,A. Johnston,Canada,Nashville SC,USA Major League Soccer,RM
00009214,A. Judge,Republic of Ireland,Ipswich Town,English League One,RW
00007145,A. Jung,Germany,Brondby IF,Danish Superliga,LCB
00011514,A. Jusino,Bolivia,Club Bolívar,Liga de Fútbol Profesional Boliviano,RCB
00005136,A. Kacaniklic,Sweden,Hammarby IF,Swedish Allsvenskan,RW
00009005,A. Kamara,Sierra Leone,Randers FC,Danish Superliga,LS
00006895,A. Kante,Gambia,CF Fuenlabrada,Spanish Segunda División,LM
00004938,A. Kara,Turkey,Kasimpaºa SK,Turkish Süper Lig,LDM
00008595,A. Katranis,Greece,Hatayspor,Turkish Süper Lig,LB
00011068,A. Kecskes,Hungary,FC Lugano,Swiss Super League,RCB
00009475,A. Keita,Guinea,Östersunds FK,Swedish Allsvenskan,GK
00005171,A. Khalili,Sweden,Hammarby IF,Swedish Allsvenskan,CAM
00010997,A. Khammas,Morocco,Waasland-Beveren,Belgian Jupiler Pro League,LB
00009629,A. Kilgour,England,Bristol Rovers,English League One,RCB
00005274,A. Kofler,Austria,Wolfsberger AC,Austrian Football Bundesliga,GK
00018492,A. Kogler,Austria,Finn Harps,Rep. Ireland Airtricity League,LS
00008641,A. Koita,Belgium,Waasland-Beveren,Belgian Jupiler Pro League,LM
00016534,A. Komor,Poland,Podbeskidzie Bielsko-Bia³a,Polish T-Mobile Ekstraklasa,RCB
00007001,A. Konradsen,Norway,Rosenborg BK,Norwegian Eliteserien,LCM
00009365,A. Koro Kone,Ivory Coast,Servette FC,Swiss Super League,LS
00005826,A. Koselev,Moldova,Fortuna Sittard,Holland Eredivisie,GK
00002064,A. Kral,Czech Republic,Spartak Moscow,Russian Premier League,LCM
00012373,A. Kralj,Sweden,Sandefjord Fotball,Norwegian Eliteserien,LB
00000269,A. Kramaric,Croatia,TSG 1899 Hoffenheim,German 1. Bundesliga,LW
00016841,A. Krauchi,Switzerland,FC St. Gallen,Swiss Super League,RB
00006047,A. Kulusic,Croatia,MKE Ankaragücü,Turkish Süper Lig,LCB
00000193,A. Lacazette,France,Arsenal,English Premier League,ST
00000713,A. Lafont,France,FC Nantes,French Ligue 1,GK
00001049,A. Lallana,England,Brighton & Hove Albion,English Premier League,CAM
00000032,A. Laporte,France,Manchester City,English Premier League,LCB
00012119,A. Laukart,Germany,Türkgücü München,German 3. Bundesliga,CAM
00014885,A. Lawniczak,Poland,Warta Poznañ,Polish T-Mobile Ekstraklasa,LCB
00004985,A. Le Fondre,England,Sydney FC,Australian Hyundai A-League,LS
00010315,A. Leguizamon,Argentina,Emelec,Ecuadorian Serie A,RCB
00008865,A. Leitner,Austria,FC Admira Wacker Mödling,Austrian Football Bundesliga,GK
00014733,A. Lewis,England,Amiens SC,French Ligue 2,LB
00004673,A. Leya Iseka,Belgium,Toulouse Football Club,French Ligue 2,ST
00013680,A. Lie,Norway,Aalesunds FK,Norwegian Eliteserien,GK
00008005,A. Lienhart,Austria,TSV Hartberg,Austrian Football Bundesliga,RB
00015259,A. Liljenback,Sweden,Varbergs BoIS,Swedish Allsvenskan,RWB
00004024,A. Linde,Sweden,Molde FK,Norwegian Eliteserien,GK
00007966,A. Lindegaard,Denmark,Helsingborgs IF,Swedish Allsvenskan,GK
00009883,A. Lioi,Argentina,Rosario Central,Argentina Primera División,RM
00010225,A. Lis,Poland,Warta Poznañ,Polish T-Mobile Ekstraklasa,GK
00000464,A. Ljajic,Serbia,Beºiktaº JK,Turkish Süper Lig,LCM
00005540,A. Loba,Ivory Coast,Monterrey,Mexican Liga MX,LS
00001689,A. Long,United States,New York Red Bulls,USA Major League Soccer,LCB
00000162,A. Lopes,Portugal,Olympique Lyonnais,French Ligue 1,GK
00009118,A. Lopez,Ecuador,Universidad Católica del Ecuador,Ecuadorian Serie A,RB
00004323,A. Losilla,France,VfL Bochum 1848,German 2. Bundesliga,RDM
00007839,A. Ludwig,Denmark,AC Horsens,Danish Superliga,LCB
00010401,A. Lukimya,DR Congo,KFC Uerdingen 05,German 3. Bundesliga,RCB
00013504,A. Lukovic,Serbia,Famalicao,Portuguese Liga ZON SAGRES,LCM
00008072,A. Luna,Mexico,Querétaro,Mexican Liga MX,RWB
00010510,A. Luna,Uruguay,Melbourne City FC,Australian Hyundai A-League,RCM
00009076,A. Lundqvist,Sweden,Houston Dynamo,USA Major League Soccer,LB
00002351,A. Luthe,Germany,1. FC Union Berlin,German 1. Bundesliga,GK
00014027,A. Lyons,Republic of Ireland,Bohemian FC,Rep. Ireland Airtricity League,RB
00009527,A. Mabaso,South Africa,Orlando Pirates,South African Premier Division,RM
00003274,A. Mabil,Australia,FC Midtjylland,Danish Superliga,RW
00001737,A. Maher,Netherlands,FC Utrecht,Holland Eredivisie,CDM
00001192,A. MaitlandNiles,England,Arsenal,English Premier League,LWB
00015398,A. Majrashi,Saudi Arabia,Al Adalah,Saudi Abdul L. Jameel League,RB
